Model,MAE,MSE,RMSE,R2 Score
Log Transformed Linear Regression,3755.92457590967,51797278.3515458,7197.032607369915,0.7181193522954394
Log Transformed SVR,2518.3912741121935,29148483.30421599,5398.933533969092,0.841374033252603
XGBoost,2663.224228186713,25971562.401171174,5096.2302146950915,0.8586628281537294
LightGBM,2344.6565295818386,20436077.231606893,4520.627968723692,0.8887869233690372
