Model,CV R2 Mean Score,MAE,MSE,RMSE,R2 Score
Linear Regression,0.8606738157969209,2479.0289878692606,20506677.499937847,4528.429915537818,0.8524685989880674
Decision Tree,0.8403717300976264,3124.280913625611,30342130.075541355,5508.369093982479,0.7817093012876182
Random Forest,0.8560989155138916,2546.182139339517,20048804.10556862,4477.589095212805,0.8557626822620442
K-Nearest Neighbors,0.8234112648479833,3023.2041071355693,27092844.096868817,5205.078683062228,0.805085672848708
Support Vector Regressor,0.8284169409490382,1889.4472478278005,23060623.604090583,4802.147811562091,0.8340947182433314
